qubits,layers,connectivity,encoding_axis,seed,strength,alpha,validation_RMSE,validation_folds,validation_rows_per_fold,validation_GARCH_RMSE,validation_gain_vs_GARCH_%,test_GARCH_RMSE,test_gain_vs_GARCH_%,cx_count,depth,elapsed,data_source,RMSE,MAE,R2,NMSE,QLIKE,validation_rank
9,1,grid,ry,44,0.275,1000.0,0.010351416179488721,4,160,0.010574239880556308,2.1072313810216277,0.008321091734962904,-0.29841942869048643,24,29,8.234449863433838,yfinance:SPY:2010-01-01:2024-12-31,0.008345923489379192,0.004501687511468931,0.9574386326886711,0.04256136731132892,0.016766170495981267,1
9,1,grid,rz,46,0.25,1000.0,0.01038392874288341,4,160,0.010574239880556308,1.7997618724617535,0.008321091734962904,0.03283270157594205,24,29,9.955626010894775,yfinance:SPY:2010-01-01:2024-12-31,0.008318359695745703,0.004498791304646041,0.9577193003658349,0.04228069963416515,0.01667749927318276,2
9,1,grid,rz,44,0.25,1000.0,0.01043072002068196,4,160,0.010574239880556308,1.3572593538212459,0.008321091734962904,0.6804034693345038,24,29,8.262574672698975,yfinance:SPY:2010-01-01:2024-12-31,0.00826447473811171,0.004482644836238033,0.9582653009204543,0.041734699079545794,0.016472124351002697,3
9,1,grid,ry,45,0.17500000000000004,1000.0,0.01044757725310316,4,160,0.010574239880556308,1.197841441880401,0.008321091734962904,0.018885383488584623,24,29,8.24358057975769,yfinance:SPY:2010-01-01:2024-12-31,0.00831952026487832,0.004511385397730385,0.9577075016219067,0.042292498378093395,0.016540346611944107,4
9,1,grid,rz,40,0.2,1000.0,0.01045610669438643,4,160,0.010574239880556308,1.11717898879047,0.008321091734962904,0.4905229793186949,24,29,8.262572288513184,yfinance:SPY:2010-01-01:2024-12-31,0.008280274867872722,0.004485731598675791,0.9581055705032904,0.04189442949670959,0.01641128168622953,5
9,1,grid,ry,40,0.17500000000000004,1000.0,0.010457996263853058,4,160,0.010574239880556308,1.0993094351585102,0.008321091734962904,0.07841716691020671,24,29,8.389743089675903,yfinance:SPY:2010-01-01:2024-12-31,0.008314566570568347,0.004500393191667995,0.9577578510962408,0.042242148903759186,0.016643691558323768,6
9,1,grid,rz,41,0.2,1000.0,0.01046470020381139,4,160,0.010574239880556308,1.0359106468384252,0.008321091734962904,0.12885488702945158,24,29,9.056579113006592,yfinance:SPY:2010-01-01:2024-12-31,0.0083103696016082,0.004478171823575913,0.9578004857281016,0.04219951427189837,0.01660714823073959,7
9,1,grid,rz,45,0.17500000000000004,1000.0,0.01047491439585764,4,160,0.010574239880556308,0.939315599235696,0.008321091734962904,-0.17939278925101043,24,29,8.355935096740723,yfinance:SPY:2010-01-01:2024-12-31,0.00833601917352239,0.004518780269240805,0.957539590024054,0.042460409975946044,0.016628761989824967,8
9,1,grid,rz,47,0.17500000000000004,1000.0,0.010480038768329855,4,160,0.010574239880556308,0.8908546930136084,0.008321091734962904,-0.014937269699444757,24,29,8.291120290756226,yfinance:SPY:2010-01-01:2024-12-31,0.008322334678877294,0.004513302487003054,0.9576788824879148,0.042321117512085255,0.01658256360248527,9
9,1,grid,rz,43,0.17500000000000004,1000.0,0.01048675759170766,4,160,0.010574239880556308,0.8273151530211508,0.008321091734962904,0.36682510688843434,24,29,8.20286774635315,yfinance:SPY:2010-01-01:2024-12-31,0.008290567881311842,0.00448568559159205,0.9580013498216454,0.04199865017835454,0.01650248547408478,10
9,1,grid,rz,42,0.125,1000.0,0.01051614873374074,4,160,0.010574239880556308,0.549364753133555,0.008321091734962904,0.04648588438593145,24,29,8.567413330078125,yfinance:SPY:2010-01-01:2024-12-31,0.008317223601879342,0.004501339867331485,0.9577308486914801,0.0422691513085199,0.016517560871608168,11
9,1,grid,ry,43,0.10000000000000003,1000.0,0.010545534227894223,4,160,0.010574239880556308,0.271467764930015,0.008321091734962904,-0.10206538976534521,24,29,10.05823802947998,yfinance:SPY:2010-01-01:2024-12-31,0.008329584689674926,0.004518041169106137,0.957605114196254,0.042394885803746,0.016545914475695034,12
9,1,grid,ry,46,0.07500000000000001,1000.0,0.010554207222996726,4,160,0.010574239880556308,0.189447731334493,0.008321091734962904,0.036627096593874274,24,29,8.173197269439697,yfinance:SPY:2010-01-01:2024-12-31,0.008318043960655474,0.0045160341669879586,0.9577225099522564,0.04227749004774364,0.01652566182107527,13
9,1,grid,ry,42,0.050000000000000044,1000.0,0.0105620476396478,4,160,0.010574239880556308,0.11530134597122835,0.008321091734962904,0.0985867520940494,24,29,8.419260740280151,yfinance:SPY:2010-01-01:2024-12-31,0.008312888240882638,0.004511241160365416,0.9577749028803695,0.04222509711963054,0.01647146452061645,14
9,1,grid,ry,47,0.050000000000000044,1000.0,0.010562179780688725,4,160,0.010574239880556308,0.1140516954770273,0.008321091734962904,-0.01640848026827853,24,29,8.323963642120361,yfinance:SPY:2010-01-01:2024-12-31,0.00832245709965834,0.004516423593918739,0.9576776373992307,0.042322362600769235,0.0164941617314258,15
9,1,grid,ry,41,0.025000000000000022,100.0,0.010571969145576994,4,160,0.010574239880556308,0.021474214742274747,0.008321091734962904,0.0729517616305516,24,29,8.37433409690857,yfinance:SPY:2010-01-01:2024-12-31,0.008315021351955354,0.004514647324533207,0.9577532299369067,0.04224677006309335,0.01648857330019106,16
