qubits,layers,connectivity,encoding_axis,seed,strength,alpha,validation_RMSE,validation_folds,validation_rows_per_fold,validation_GARCH_RMSE,validation_gain_vs_GARCH_%,validation_fold_gain_mean_%,validation_fold_gain_std_%,validation_fold_gain_min_%,test_GARCH_RMSE,test_gain_vs_GARCH_%,cx_count,depth,elapsed,data_source,RMSE,MAE,R2,NMSE,QLIKE,selection_score,validation_rank
9,1,grid,ry,40,0.17500000000000004,1000.0,0.010457991466394426,4,160,0.010574237810169524,1.0993354401704505,1.2023479958970806,0.21547026306544698,1.0212391180327423,0.008321077507931717,0.078415894418662,24,29,9.416110277175903,yfinance:SPY:2010-01-01:2024-12-31,0.008314552460578602,0.004500399214603971,0.9577579016059539,0.042242098394046086,0.01664356039261863,1.0212391180327423,1
9,1,grid,rz,44,0.25,1000.0,0.010430724093400684,4,160,0.010574237810169524,1.3572015245469433,1.8188396845572907,0.9427290727169627,0.7094386909000763,0.008321077507931717,0.6804270618220365,24,29,10.127651691436768,yfinance:SPY:2010-01-01:2024-12-31,0.008264458644732563,0.004482645902823642,0.9582653717137607,0.04173462828623928,0.01647197686802183,0.7094386909000763,2
9,1,grid,rz,43,0.17500000000000004,1000.0,0.010486759813280818,4,160,0.010574237810169524,0.8272747261705813,1.2355979670393051,0.732789729005939,0.5007085606347887,0.008321077507931717,0.36683794549564225,24,29,8.673690795898438,yfinance:SPY:2010-01-01:2024-12-31,0.00829055263815852,0.004485686968238217,0.9580014119336726,0.04199858806632737,0.016502347276094263,0.5007085606347887,3
9,1,grid,rz,40,0.2,1000.0,0.010456105921858187,4,160,0.010574237810169524,1.1171669337503065,1.4725067287093285,0.8280141009308934,0.49556983191573284,0.008321077507931717,0.49054789720162356,24,29,9.728764533996582,yfinance:SPY:2010-01-01:2024-12-31,0.00828025863719204,0.004485737550184812,0.9581056426455704,0.041894357354429604,0.01641113102268525,0.49556983191573284,4
9,1,grid,rz,42,0.125,1000.0,0.010516149557118385,4,160,0.010574237810169524,0.5493374945215778,0.8116361563137687,0.398256689338752,0.3679333056296867,0.008321077507931717,0.046488359465967515,24,29,8.425128936767578,yfinance:SPY:2010-01-01:2024-12-31,0.008317209175508388,0.00450134215149338,0.9577309024034273,0.04226909759657269,0.01651742683628963,0.3679333056296867,5
9,1,grid,rz,41,0.2,1000.0,0.010464697403209041,4,160,0.010574237810169524,1.035917755274378,1.2401247249535365,0.6415981760650662,0.3492023984581862,0.008321077507931717,0.12884694255520446,24,29,9.718263626098633,yfinance:SPY:2010-01-01:2024-12-31,0.008310356053975098,0.004478179025035539,0.9578005305479457,0.042199469452054356,0.016607015026507257,0.3492023984581862,6
9,1,grid,ry,44,0.275,1000.0,0.01035142531046608,4,160,0.010574237810169524,2.107125862907662,1.6731340363562852,0.8970893863114622,0.3322595942982717,0.008321077507931717,-0.29838852101247243,24,29,8.490598201751709,yfinance:SPY:2010-01-01:2024-12-31,0.008345906648039936,0.004501687984838535,0.9574387108952536,0.04256128910474645,0.01676603182801249,0.3322595942982717,7
9,1,grid,ry,45,0.17500000000000004,1000.0,0.010447586768309192,4,160,0.010574237810169524,1.1977321120821371,1.1152259459066811,0.47735608959627485,0.3172787042346141,0.008321077507931717,0.018864783024925922,24,29,8.43871021270752,yfinance:SPY:2010-01-01:2024-12-31,0.00831950775471451,0.00451139233865892,0.9577075358408305,0.042292464159169596,0.016540219064296795,0.3172787042346141,8
9,1,grid,rz,45,0.17500000000000004,1000.0,0.010474916431023435,4,160,0.010574237810169524,0.9392769571587369,1.096742049574737,0.6188484385548543,0.24529859039172375,0.008321077507931717,-0.17939316689416368,24,29,8.94197678565979,yfinance:SPY:2010-01-01:2024-12-31,0.008336004952392914,0.004518786968815529,0.9575396415560798,0.04246035844392018,0.01662861462143742,0.24529859039172375,9
9,1,grid,rz,46,0.25,1000.0,0.010383935589162754,4,160,0.010574237810169524,1.7996779004133172,1.6272940257553934,0.8536421591877669,0.17850094328319183,0.008321077507931717,0.032795693760308366,24,29,9.028756856918335,yfinance:SPY:2010-01-01:2024-12-31,0.008318348552834658,0.0044987975508819205,0.9577193206939512,0.04228067930604888,0.01667736783833284,0.17850094328319183,10
