Model,RMSE,MAE,R2,NMSE,QLIKE,correction_strength,corr_vs_sim,feat_mae,n_tasks,shots,hardware_calibration_rows
Persistence,0.00404231878099851,0.0035693047158542462,-0.251002171617019,1.251002171617019,0.0017274804263650023,,,,,,
GARCH proxy (zero residual),0.003303389631619004,0.0032260051239207804,0.1645575329697465,0.8354424670302535,0.0011200856113879887,,,,,,
Ridge residual ablation,0.0027037297551989158,0.0026451156442429333,0.4403409821934444,0.5596590178065556,0.0007442850172600379,,,,,,
ESN (200 nodes),0.0015680835941641249,0.001175902218509342,0.8117498343622239,0.18825016563777608,0.000240710912540687,,,,,,
QuEra 5atom -- local AHS sim,0.0028705042930995254,0.0022642113040062042,0.3691685363724112,0.6308314636275888,0.0008227219833394916,1.0,,,,,
QuEra 5atom -- QuEra local AHS sim,0.0030861854056442,0.003011231009435303,0.2708095517245749,0.7291904482754251,0.0009712910600371827,0.13,1.0,0.0,0.0,20.0,2.0
