Model,strength,calibration_rows,evaluation_rows,RMSE,MAE,R2,NMSE,QLIKE,Gain_vs_GARCH_%,RMSE_diff_vs_GARCH_CI_low,RMSE_diff_vs_GARCH_CI_high,locked_layers,locked_connectivity,locked_seed,locked_encoding_axis,alpha
GARCH,0.0,0,120,0.008321102922672538,0.0045345798251406645,0.9576915956099995,0.04230840439000049,0.016475722543206145,0.0,0.0,0.0,1,grid,40,ry,1000.0
QRC correction (training-validation strength),0.175,0,120,0.008314579903061552,0.004500416684799653,0.9577579018154487,0.04224209818455128,0.016643805442509416,0.0783912862465954,-8.266351445363027e-05,4.388407978340423e-05,1,grid,40,ry,1000.0
QRC correction (hardware-calibrated strength),0.175,0,120,0.008314579903061552,0.004500416684799653,0.9577579018154487,0.04224209818455128,0.016643805442509416,0.0783912862465954,-8.266351445363027e-05,4.388407978340423e-05,1,grid,40,ry,1000.0
