Model,RMSE,MAE,R2,NMSE,QLIKE,device,shots,feat_corr,feat_mae,n_jobs
Persistence,0.003618231218059975,0.0029191573312079997,0.3594380338166593,0.6405619661833407,0.0013841986748854395,,,,,
GARCH proxy (zero residual),0.003144979944244774,0.0030627066130759105,0.5160457854623902,0.4839542145376098,0.0010243704294924162,,,,,
Ridge residual ablation,0.0028482608810420896,0.0027890303924506922,0.603057092841909,0.396942907158091,0.0008427489164183566,,,,,
ESN (200 nodes),0.014511081828463205,0.007533841766700605,-9.303104340474446,10.303104340474446,0.016743464642158878,,,,,
QRC 5q L2 -- statevector (sim),0.0032452824095217676,0.0026020281173232186,0.48468414210262245,0.5153158578973775,0.0010752290563626143,,,,,
QRC 5q L2 -- qBraid hardware,0.003169152026506069,0.002591115215898848,0.5085779243197679,0.49142207568023216,0.001027004874473425,qbraid:qbraid:sim:qir-sv,20.0,0.8804054459337122,0.17178385010868824,5.0
