Model,device,job_id,shots,qubits,compiled_depth,compiled_cz,compiled_swaps,feature_corr_vs_exact,feature_mae_vs_exact,affine_scale,affine_bias,readout_alpha,correction_strength,GARCH_RMSE,Gain_vs_GARCH_%,RMSE,MAE,R2,NMSE,QLIKE
hardware_raw,emerald,019f5691-063b-7a11-8bbc-db5057b79259,500,9,32,24,0,0.7663126485988545,0.05892018126633165,0.5372169388901423,-0.0014096128556379333,300.0,0.105,0.008321124456187523,0.0444586227358807,0.008317424998858163,0.004484706152645529,0.9577288485866207,0.04227115141337933,0.016538915130974483
hardware_qrem,emerald,019f5691-063b-7a11-8bbc-db5057b79259,500,9,32,24,0,0.7698939300047893,0.05866048810712656,0.5372169388901423,-0.0014096128556379333,300.0,0.105,0.008321124456187523,0.06360766482657222,0.008315831583233629,0.004484407217664617,0.9577450432769972,0.04225495672300287,0.016526884198015422
hardware_affine,emerald,019f5691-063b-7a11-8bbc-db5057b79259,500,9,32,24,0,0.7663126485988538,0.06230377487264723,0.5372169388901423,-0.0014096128556379333,300.0,0.105,0.008321124456187523,0.0780950984731405,0.00831462606584939,0.00447322038490417,0.957757293499277,0.04224270650072303,0.01654490823688357
hardware_qrem_affine,emerald,019f5691-063b-7a11-8bbc-db5057b79259,500,9,32,24,0,0.7698939300047892,0.06153854418316255,0.5372169388901423,-0.0014096128556379333,300.0,0.105,0.008321124456187523,0.08950606730429271,0.008313676544931294,0.004472838263012036,0.9577669410872417,0.0422330589127583,0.01653832942263481
matched_simulator,emerald,019f5691-063b-7a11-8bbc-db5057b79259,500,9,32,24,0,0.8724853888714775,0.059177953837957646,0.5372169388901423,-0.0014096128556379333,300.0,0.105,0.008321124456187523,0.41026776382836094,0.008286985564955747,0.0044543466551836275,0.9580376834535592,0.04196231654644078,0.0164201152485114
exact_statevector,emerald,019f5691-063b-7a11-8bbc-db5057b79259,500,9,32,24,0,1.0,0.0,0.5372169388901423,-0.0014096128556379333,300.0,0.105,0.008321124456187523,0.5357149435952363,0.008276546949000568,0.0044702049524321915,0.9581433316713677,0.04185666832863236,0.01642288252314396
