qubits,layers,connectivity,encoding_axis,input_projection,observable_order,seed,strength,alpha,validation_RMSE,validation_folds,validation_rows_per_fold,validation_GARCH_RMSE,validation_gain_vs_GARCH_%,validation_fold_gain_mean_%,validation_fold_gain_std_%,validation_fold_gain_min_%,test_GARCH_RMSE,test_gain_vs_GARCH_%,cx_count,depth,elapsed,data_source,RMSE,MAE,R2,NMSE,QLIKE,selection_score,validation_rank
9,1,grid,rz,first,3,42,0.2,1000.0,0.010444074646839115,4,160,0.010574250170312084,1.2310615067387574,1.5651198309293881,0.5691916978296215,0.98775038986746,0.008321081534012224,0.21023944592289526,24,29,7.548059463500977,yfinance:SPY:2010-01-01:2024-12-31,0.008303587338300325,0.0045184997756046305,0.9578688788150723,0.04213112118492765,0.016374382488535875,0.98775038986746,1
9,1,grid,rz,first,3,44,0.30000000000000004,1000.0,0.010375759732767779,4,160,0.010574250170312084,1.8771112310315925,2.2975245057917375,1.1322824296034735,0.8222206230558738,0.008321081534012224,0.2557436154231295,24,29,7.628390789031982,yfinance:SPY:2010-01-01:2024-12-31,0.008299800899254835,0.004520315679502277,0.957907293669669,0.042092706330331006,0.016423897784356246,0.8222206230558738,2
9,1,grid,rz,first,2,44,0.25,1000.0,0.010430727226069062,4,160,0.010574250170312084,1.3572872017532995,1.8188505058602153,0.9426786499862301,0.7094352851171563,0.008321081534012224,0.6804072900000507,24,29,5.470939874649048,yfinance:SPY:2010-01-01:2024-12-31,0.008264464288647957,0.004482634127824405,0.9582649521823717,0.04173504781762826,0.016472056198521524,0.7094352851171563,3
9,1,grid,rz,first,2,43,0.17500000000000004,1000.0,0.010486757324644939,4,160,0.010574250170312084,0.8274141831142552,1.235625952726215,0.7327213727087935,0.5006643017312583,0.008321081534012224,0.3668247522093298,24,29,5.663971900939941,yfinance:SPY:2010-01-01:2024-12-31,0.008290557747293948,0.004485676222520881,0.9580009953476801,0.04199900465231983,0.016502406485818213,0.5006643017312583,4
9,1,grid,rz,first,2,40,0.2,1000.0,0.010456094049573256,4,160,0.010574250170312084,1.1173947924039036,1.472593052535272,0.8279188461331277,0.49562414852389114,0.008321081534012224,0.4905152637891462,24,29,5.745559215545654,yfinance:SPY:2010-01-01:2024-12-31,0.008280265358975554,0.004485729252729698,0.9581052107105625,0.04189478928943741,0.01641120697415986,0.49562414852389114,5
9,1,grid,rz,first,2,42,0.125,1000.0,0.010516159787876685,4,160,0.010574250170312084,0.5493569898553392,0.8116423235808284,0.39823907007948955,0.36796246853614495,0.008321081534012224,0.046499486026801054,24,29,5.790437459945679,yfinance:SPY:2010-01-01:2024-12-31,0.008317212273867038,0.004501328844257794,0.9577305037394372,0.042269496260562804,0.016517485316014487,0.36796246853614495,6
9,1,grid,rz,first,2,41,0.2,1000.0,0.010464699714839536,4,160,0.010574250170312084,1.0360115725285064,1.2401513778619915,0.6415647422705323,0.34920819282683163,0.008321081534012224,0.1288640595188436,24,29,5.671701908111572,yfinance:SPY:2010-01-01:2024-12-31,0.008310358650551623,0.0044781644394806495,0.9578001376108133,0.042199862389186736,0.01660707035445637,0.34920819282683163,7
9,1,grid,rz,first,2,45,0.17500000000000004,1000.0,0.010474915745657806,4,160,0.010574250170312084,0.9393992297739119,1.0967864667024925,0.6187996317496158,0.24533967426007625,0.008321081534012224,-0.17940823442826895,24,29,5.500472068786621,yfinance:SPY:2010-01-01:2024-12-31,0.008336010239477732,0.004518776855009691,0.9575392188622898,0.04246078113771028,0.016628689771123122,0.24533967426007625,8
9,1,grid,rz,first,3,45,0.2,1000.0,0.010463093592592329,4,160,0.010574250170312084,1.0512005667487863,1.235548254823878,0.7178331822643242,0.20119188737323687,0.008321081534012224,0.3166812030264328,24,29,7.458468914031982,yfinance:SPY:2010-01-01:2024-12-31,0.008294730232905504,0.004515317350884928,0.9579587100526363,0.04204128994736363,0.016473478482043027,0.20119188737323687,9
9,1,grid,rz,first,2,46,0.25,1000.0,0.010383937595719272,4,160,0.010574250170312084,1.7997737099801898,1.6273271187312681,0.8535956104269617,0.1785808561985157,0.008321081534012224,0.0328082173368899,24,29,5.440816402435303,yfinance:SPY:2010-01-01:2024-12-31,0.008318351535497766,0.004498789088140439,0.9577189231011722,0.04228107689882774,0.01667743106630827,0.1785808561985157,10
9,1,grid,rz,first,3,40,0.32500000000000007,1000.0,0.010288327441720362,4,160,0.010574250170312084,2.7039527530232816,2.588110180544199,1.474468972895253,0.177539027984671,0.008321081534012224,0.9808038739671097,24,29,7.5129454135894775,yfinance:SPY:2010-01-01:2024-12-31,0.00823946804397067,0.004494497895047261,0.9585170294612714,0.041482970538728646,0.016242964214784612,0.177539027984671,11
9,1,grid,rz,first,2,47,0.17500000000000004,1000.0,0.010480044116607468,4,160,0.010574250170312084,0.8909005573662935,1.0138828909263489,0.6111320814862841,0.08938777807170029,0.008321081534012224,-0.014917102962183806,24,29,5.533102750778198,yfinance:SPY:2010-01-01:2024-12-31,0.00832232279831222,0.004513294956432287,0.9576785426607702,0.042321457339229804,0.016582486614142144,0.08938777807170029,12
9,1,grid,rz,first,3,47,0.25,1000.0,0.01042766981248747,4,160,0.010574250170312084,1.3862009642645696,1.5802633288003107,1.0098903952446878,0.04909973783401416,0.008321081534012224,0.10950480539532843,24,29,6.874927282333374,yfinance:SPY:2010-01-01:2024-12-31,0.008311969549871618,0.004504781998394627,0.9577837757854913,0.04221622421450862,0.016527758391830655,0.04909973783401416,13
