Scenario,strength_policy,shots,p_single,p_two,feature_corr_vs_exact,correction_strength,calibration_rows,evaluation_rows,GARCH_RMSE,Gain_vs_GARCH_%,RMSE,MAE,R2,NMSE,QLIKE
exact statevector,locked,,0.0,0.0,1.0,0.25,0,120,0.008321072539270054,0.680430773044047,0.008264453401065543,0.004482632994907252,0.9582654310459318,0.0417345689540682,0.016472181619489958
200-shot ideal sampling,locked,200.0,0.0,0.0,0.9074501343236674,0.25,0,120,0.008321072539270054,-37.59158507791167,0.011449095602264502,0.00842629038897204,0.9199041479879435,0.08009585201205653,0.021646798452886595
200-shot ideal sampling,wide-20row-calibration,200.0,0.0,0.0,0.9074501343236674,-0.25,0,120,0.008321072539270054,-39.89733433403218,0.011640958670439969,0.008365813496903414,0.917197174509658,0.08280282549034197,0.024768382640011802
200-shot IQM noise proxy,locked,200.0,0.001,0.013,0.9130938026769024,0.25,0,120,0.008321072539270054,-45.53281130151604,0.012109890796838158,0.009259257841892573,0.91039172531586,0.08960827468414,0.02316085432623759
200-shot IQM noise proxy,wide-20row-calibration,200.0,0.001,0.013,0.9130938026769024,-0.25,0,120,0.008321072539270054,-32.68123311380908,0.011040501653398054,0.007743572230428678,0.9255190382215588,0.07448096177844116,0.026482013948992543
