Scenario,strength_policy,shots,p_single,p_two,feature_corr_vs_exact,correction_strength,calibration_rows,evaluation_rows,GARCH_RMSE,Gain_vs_GARCH_%,RMSE,MAE,R2,NMSE,QLIKE
exact statevector,locked,,0.0,0.0,1.0,0.175,20,100,0.008014661082303884,0.013250224568477123,0.008013599121712076,0.003978318137184205,0.9600302292690499,0.03996977073095013,0.017083135404970824
200-shot ideal sampling,locked,200.0,0.0,0.0,0.9708142676766162,0.175,20,100,0.008014661082303884,0.0949223795126539,0.008007053375294686,0.0039816233647671775,0.9600954995989468,0.03990450040105317,0.01706604553279253
200-shot ideal sampling,wide-20row-calibration,200.0,0.0,0.0,0.9708142676766162,0.31500000000000006,20,100,0.008014661082303884,0.01724925651328562,0.008013278612855126,0.003984075998768882,0.9600334264365522,0.039966573563447814,0.017250352920995693
200-shot IQM noise proxy,locked,200.0,0.001,0.013,0.9719587036808595,0.175,20,100,0.008014661082303884,0.18725517947389994,0.00799965321430999,0.003978588942124149,0.9601692254140162,0.03983077458598384,0.01702481484644372
200-shot IQM noise proxy,wide-20row-calibration,200.0,0.001,0.013,0.9719587036808595,0.635,20,100,0.008014661082303884,-0.3906578782989679,0.008045970987240865,0.00399418807711409,0.9597066519486992,0.040293348051300755,0.01761160450429115
