Model,RMSE,MAE,R2,NMSE,QLIKE,correction_strength,corr_vs_sim,feat_mae,n_tasks,shots,hardware_calibration_rows,feature_calibration_rows,feature_corr_raw,feature_mae_raw,feature_affine_scale,feature_affine_bias
Persistence,0.01754104070001055,0.008691458734505896,0.5735155487976376,0.42648445120236245,0.1007068236520577,,,,,,,,,,,
GARCH proxy (zero residual),0.013728468620937347,0.006263091282862773,0.7387618012882964,0.2612381987117037,0.06508261556695058,,,,,,,,,,,
Ridge residual ablation,0.014641276945801106,0.0067885469860824044,0.7028673331304787,0.2971326668695213,0.08162758632230802,,,,,,,,,,,
ESN (200 nodes),0.014725470415821808,0.00623862542597447,0.6994402333740728,0.30055976662592726,0.08018261866736082,,,,,,,,,,,
QuEra 5atom -- local AHS sim,0.013749458888935182,0.00618531601207739,0.7379623455082195,0.2620376544917805,0.06582026326665344,0.105,,,,,,,,,,
QuEra 5atom -- QuEra Aquila (hardware),0.013753494482731393,0.006189232851297096,0.7378085019670126,0.2621914980329874,0.06588891683068439,0.105,0.3438041093305532,0.22112004002895594,23.0,50.0,0.0,3.0,0.343804109330553,0.3254547670440362,0.30129162938322757,0.5160114991479335
