qubits,layers,connectivity,encoding_axis,input_projection,observable_order,seed,strength,alpha,validation_RMSE,validation_folds,validation_rows_per_fold,validation_GARCH_RMSE,validation_gain_vs_GARCH_%,validation_fold_gain_mean_%,validation_fold_gain_std_%,validation_fold_gain_min_%,test_GARCH_RMSE,test_gain_vs_GARCH_%,cx_count,depth,elapsed,data_source,RMSE,MAE,R2,NMSE,QLIKE,selection_score,validation_rank
9,1,grid,ry,first,2,40,0.17500000000000004,1000.0,0.010458010288978236,4,160,0.010574245895475232,1.099233057808252,1.2022957416668185,0.21547609459821787,1.0210973758478403,0.008321075777244096,0.07839377434537247,24,29,6.0027289390563965,yfinance:SPY:2010-01-01:2024-12-31,0.008314552571876176,0.004500399759767422,0.9577578079331692,0.042242192066830754,0.016643660247335695,1.0210973758478403,1
9,1,grid,rz,first,2,44,0.25,1000.0,0.010430735528702802,4,160,0.010574245895475232,1.3571688060879912,1.8187914912995682,0.9427452185234878,0.7093381131756544,0.008321075777244096,0.6803857731841579,24,29,5.4931254386901855,yfinance:SPY:2010-01-01:2024-12-31,0.008264460361479854,0.004482644666756067,0.9582652629447953,0.04173473705520472,0.01647209526195146,0.7093381131756544,2
9,1,grid,rz,first,2,43,0.17500000000000004,1000.0,0.01048677654827483,4,160,0.010574245895475232,0.8271922940417944,1.2355386551691578,0.7328221745279332,0.5006158756083952,0.008321075777244096,0.3668251071194731,24,29,5.670189380645752,yfinance:SPY:2010-01-01:2024-12-31,0.008290551982110728,0.004485686660816733,0.9580013265721324,0.04199867342786759,0.016502443514250627,0.5006158756083952,3
9,1,grid,rz,first,2,40,0.2,1000.0,0.01045611985800438,4,160,0.010574245895475232,1.1171107484969602,1.4724792495990737,0.8280295604666612,0.4955553435908731,0.008321075777244096,0.49051687216629775,24,29,5.843118667602539,yfinance:SPY:2010-01-01:2024-12-31,0.008280259496610971,0.004485740540897908,0.9581055421689366,0.04189445783106335,0.016411240681644693,0.4955553435908731,4
9,1,grid,ryrz,first,2,40,0.15000000000000002,1000.0,0.010483996974579714,4,160,0.010574245895475232,0.8534785533418996,0.925789760608904,0.2936677707352949,0.4950184593863238,0.008321075777244096,0.09533638550960129,24,30,6.2453272342681885,yfinance:SPY:2010-01-01:2024-12-31,0.008313142764362557,0.004492610186864338,0.9577721318093725,0.04222786819062751,0.016571626335048658,0.4950184593863238,5
9,1,grid,ryrz,first,2,45,0.15000000000000002,1000.0,0.010485367388201588,4,160,0.010574245895475232,0.8405186351082995,1.1626530758410691,0.6539309401266674,0.49454417119478356,0.008321075777244096,-0.024993692290630053,24,30,5.667954683303833,yfinance:SPY:2010-01-01:2024-12-31,0.00832315552131913,0.0044993972253277,0.9576703479175336,0.042329652082466446,0.016538302535073872,0.49454417119478356,6
9,1,grid,ryrz,first,2,44,0.25,1000.0,0.010399921944708509,4,160,0.010574245895475232,1.6485709949426923,1.4478421035842555,0.6950644104874311,0.3694975254962389,0.008321075777244096,0.06080942371439451,24,30,5.802335977554321,yfinance:SPY:2010-01-01:2024-12-31,0.008316015779017116,0.004458063687244803,0.9577429389392762,0.04225706106072376,0.0165741993210498,0.3694975254962389,7
9,1,grid,rz,first,2,42,0.125,1000.0,0.010516165210241438,4,160,0.010574245895475232,0.549265506097665,0.8115985849439509,0.39829218377519127,0.3678348398072564,0.008321075777244096,0.046491471900291265,24,29,5.501197338104248,yfinance:SPY:2010-01-01:2024-12-31,0.008317207186637317,0.004501339602076113,0.9577308300178168,0.04226916998218325,0.01651752250781508,0.3678348398072564,8
9,1,grid,rz,first,2,41,0.2,1000.0,0.010464706945532599,4,160,0.010574245895475232,1.0359031842592648,1.2401013323133876,0.6416039376868063,0.349157286380863,0.008321075777244096,0.1288493809963626,24,29,5.553978681564331,yfinance:SPY:2010-01-01:2024-12-31,0.008310354122612879,0.004478179109303717,0.9578004577141622,0.0421995422858378,0.016607110242556396,0.349157286380863,9
9,1,grid,ryrz,first,2,43,0.125,1000.0,0.010510100363794473,4,160,0.010574245895475232,0.6066203899060683,0.6558970227929287,0.2581919627498307,0.3432166505748943,0.008321075777244096,-0.03628746870231964,24,30,5.575099468231201,yfinance:SPY:2010-01-01:2024-12-31,0.00832409528501246,0.004505552532313047,0.9576607885344751,0.04233921146552493,0.016570384667418097,0.3432166505748943,10
9,1,grid,ry,first,2,44,0.275,1000.0,0.010351414165240522,4,160,0.010574245895475232,2.1073061137159668,1.6731873585437007,0.8971624532887343,0.3322245561362402,0.008321075777244096,-0.2984109749983474,24,29,5.718183755874634,yfinance:SPY:2010-01-01:2024-12-31,0.008345906780601322,0.004501691635881531,0.9574386163020602,0.04256138369793978,0.016766132697897396,0.3322245561362402,11
9,1,grid,ry,first,2,45,0.17500000000000004,1000.0,0.010447593212906567,4,160,0.010574245895475232,1.1977467123481564,1.1152147951089555,0.47737101493311435,0.3172317135518352,0.008321075777244096,0.018858189753692634,24,29,5.526286840438843,yfinance:SPY:2010-01-01:2024-12-31,0.008319506572984475,0.004511395005344462,0.9577074552033492,0.0422925447966508,0.016540321366945363,0.3172317135518352,12
9,1,grid,ryrz,first,2,47,0.07500000000000001,1000.0,0.010532724458143098,4,160,0.010574245895475232,0.3926657063072506,0.5168790899203417,0.1519288549029233,0.296963530219157,0.008321075777244096,-0.07041092554876636,24,30,6.322341203689575,yfinance:SPY:2010-01-01:2024-12-31,0.008326934723714468,0.004508932794988977,0.9576318988844575,0.042368101115542456,0.01650909839610753,0.296963530219157,13
9,1,grid,rz,first,2,45,0.17500000000000004,1000.0,0.01047492803195552,4,160,0.010574245895475232,0.9392429919017744,1.096728760290773,0.6188427685551103,0.24530803314726415,0.008321075777244096,-0.1794140192179327,24,29,5.552711009979248,yfinance:SPY:2010-01-01:2024-12-31,0.00833600495373822,0.0045187890225773,0.9575395485223345,0.04246045147766555,0.01662872480621503,0.24530803314726415,14
9,1,grid,rz,first,2,46,0.25,1000.0,0.010383950634314899,4,160,0.010574245895475232,1.7996107054949535,1.6272508981449245,0.8536161565992707,0.17849200550989502,0.008321075777244096,0.03278739078255581,24,29,5.61414909362793,yfinance:SPY:2010-01-01:2024-12-31,0.008318347513611699,0.004498802376778913,0.9577192386319345,0.04228076136806549,0.016677470112970005,0.17849200550989502,15
9,1,grid,ry,first,2,43,0.10000000000000003,1000.0,0.01054554246274639,4,160,0.010574245895475232,0.27144661673816745,0.38810874009138135,0.27453092854006006,0.09110692880118688,0.008321075777244096,-0.10207385461981636,24,29,5.527820825576782,yfinance:SPY:2010-01-01:2024-12-31,0.008329569420035765,0.004518042465021557,0.9576050835571802,0.042394916442819786,0.016545882778071692,0.09110692880118688,16
9,1,grid,rz,first,2,47,0.17500000000000004,1000.0,0.010480042697079915,4,160,0.010574245895475232,0.8908739150432167,1.013874725756594,0.6111440472074601,0.0893766181684489,0.008321075777244096,-0.01492091209483823,24,29,5.808478832244873,yfinance:SPY:2010-01-01:2024-12-31,0.008322317357646164,0.00451330674482788,0.9576788729030756,0.04232112709692443,0.016582518198528937,0.0893766181684489,17
9,1,grid,ryrz,first,2,46,0.07500000000000001,1000.0,0.01055500160110253,4,160,0.010574245895475232,0.18199212088434735,0.3662497895496644,0.21553748651224405,0.04630008649491861,0.008321075777244096,-0.018162523943064383,24,30,6.0707502365112305,yfinance:SPY:2010-01-01:2024-12-31,0.008322587094624459,0.004519681366408316,0.957676129494612,0.04232387050538802,0.016557041345183054,0.04630008649491861,18
9,1,grid,ry,first,2,42,0.050000000000000044,1000.0,0.010562058277986956,4,160,0.010574245895475232,0.11525755698088348,0.2277938267245659,0.15850559226825772,0.035602505110945704,0.008321075777244096,0.0985810791891843,24,29,5.5451436042785645,yfinance:SPY:2010-01-01:2024-12-31,0.008312872770942739,0.004511243387771326,0.9577748747097949,0.04222512529020508,0.016471427032922946,0.035602505110945704,19
