Experiment,Qubits,Layers,Connectivity,Encoding,Seed,CX_count,Correction_strength,Validation_gain_vs_GARCH_%,Test_gain_vs_GARCH_%,Hybrid_RMSE,GARCH_RMSE
6q chain,6,2,linear,rx,44,20,0.875,9.371664841273198,-2.55964806807768,0.0085340747273581,0.0083210842549823
8q chain,8,2,linear,rx,41,28,0.875,9.167721884387008,-3.84998693264862,0.0086414383927113,0.0083210779779064
10q chain,10,2,linear,rx,45,36,0.8500000000000001,7.566184867175173,-1.774267922368551,0.0084686841217146,0.0083210464635072
12q chain,12,1,linear,rx,41,22,1.1,5.346505451961257,-4.457989520390945,0.0086920459078025,0.0083210924771874
"9q grid, old Rx encoding",9,2,grid,rx,40,48,0.8,7.483607411192323,-3.9041237007737504,0.0086459869945202,0.0083211201698011
"9q native grid, corrected Ry/Rz",9,1,grid,ry,40,24,0.175,1.0993354401704505,0.078415894418662,0.0083145524605786,0.0083210775079317
