Model,RMSE,MAE,R2,NMSE,QLIKE,correction_strength,device,shots,feat_corr,feat_mae,n_jobs,hardware_calibration_rows
Persistence,0.022606048237652134,0.010678915994853974,-10.279596540020927,11.279596540020927,0.20417812307451166,,,,,,,
GARCH proxy (zero residual),0.021025084947033878,0.010368525411046789,-8.757078160060848,9.757078160060848,0.15727935586509456,,,,,,,
Ridge residual ablation,0.022285160975097244,0.010614838673559052,-9.961647112047364,10.961647112047364,0.19487184529775142,,,,,,,
ESN (200 nodes),0.022919693416020882,0.011380479734635756,-10.594762939880013,11.594762939880013,0.19041255059309767,,,,,,,
QRC 5q L3 -- statevector (sim),0.021920272515855002,0.01100216039454335,-9.605622479347964,10.605622479347964,0.1794446388536729,0.775,,,,,,
QRC 5q L3 -- qBraid hardware,0.022100918459047415,0.011181541525185343,-9.781145573725714,10.781145573725714,0.18377521320784346,0.9550000000000001,qbraid:qbraid:sim:qir-sv,20.0,0.823691759004437,0.17186271935138986,10.0,2.0
