Model,RMSE,MAE,R2,NMSE,QLIKE,alpha
Persistence,0.010697856825801929,0.0055404515791048214,0.9300700387350198,0.06992996126498013,0.025724998512465538,
ESN (200 nodes),0.010360796213924113,0.006276801054924396,0.9344072274518941,0.06559277254810593,0.024788880173400023,
QuEra Aquila (local AHS),0.010411344337072565,0.0055185231123980995,0.9337656397767599,0.06623436022324015,0.024943709801916975,1000.0
Pasqal Fresnel (local Pulser),0.010426695826761158,0.005531906968575735,0.9335701711233095,0.06642982887669051,0.024826253765995898,1000.0
