Scenario,training_policy,strength_policy,shots,p_single,p_two,feature_corr_vs_exact,correction_strength,readout_alpha,calibration_rows,evaluation_rows,GARCH_RMSE,Gain_vs_GARCH_%,RMSE,MAE,R2,NMSE,QLIKE
exact statevector,noise-aware,locked,,0.0,0.0,1.0,0.25,1000.0,0,120,0.00832108850063004,0.680408307595352,0.008264471123189392,0.004482655655556441,0.9582655687011165,0.04173443129888351,0.016471955369283888
200-shot ideal sampling,exact-trained,locked,200.0,0.0,0.0,0.9063233213595259,0.25,1000.0,0,120,0.00832108850063004,-37.50732429816001,0.011442106149698249,0.008047701233173464,0.9200025190421488,0.07999748095785116,0.02235059490174128
200-shot ideal sampling,noise-aware,locked,200.0,0.0,0.0,0.9063233213595259,0.25,1000.0,0,120,0.00832108850063004,0.18457571901913614,0.008305729791699783,0.004474580768786699,0.957847827463052,0.04215217253694803,0.016556293843543343
200-shot IQM noise proxy,exact-trained,locked,200.0,0.008,0.08,0.7584210306617484,0.25,1000.0,0,120,0.00832108850063004,-36.22947308898307,0.011335775019676265,0.007763356649012285,0.921482438632132,0.07851756136786801,0.022838556786606158
200-shot IQM noise proxy,noise-aware,locked,200.0,0.008,0.08,0.7584210306617484,0.25,1000.0,0,120,0.00832108850063004,0.0699944508950881,0.00831526420042553,0.004488700335928761,0.9577509963052151,0.04224900369478489,0.016604111313737808
