Model,RMSE,MAE,R2,NMSE,QLIKE,device,shots,feat_corr,feat_mae,n_jobs
Persistence,0.03982440893399868,0.027009880105283757,0.9117710138373142,0.08822898616268583,0.0053270676910131265,,,,,
ESN (200 nodes),0.04636735610074486,0.030022870710602827,0.8803983208940194,0.11960167910598059,0.006531154168946814,,,,,
QRC 5q L2 -- statevector (sim),0.039031184236065664,0.02701413920137581,0.9152507101432683,0.0847492898567317,0.005109519273723074,,,,,
QRC 5q L2 -- qBraid hardware,0.03898293090794094,0.027029242503368103,0.9154601276916114,0.08453987230838854,0.005097061776333632,qbraid:qbraid:sim:qir-sv,512.0,0.9902730351922754,0.03362174180623932,120.0
