qubits,layers,connectivity,seed,strength,alpha,validation_RMSE,validation_GARCH_RMSE,validation_gain_vs_GARCH_%,test_GARCH_RMSE,test_gain_vs_GARCH_%,cx_count,depth,elapsed,data_source,RMSE,MAE,R2,NMSE,QLIKE,validation_rank
9,2,grid,40,0.8,100.0,0.005980144717965224,0.006463875806900714,7.483607411192323,0.008321120169801174,-3.9041237007737504,48,45,6.258722305297852,yfinance:SPY:2010-01-01:2024-12-31,0.008645986994520247,0.004999290330049259,0.9543242844841591,0.04567571551584096,0.017198636145062843,1
9,2,grid,47,0.7000000000000001,100.0,0.006071372871958997,0.006463875806900714,6.072253655039095,0.008321120169801174,-0.8381999231330782,48,45,6.525214910507202,yfinance:SPY:2010-01-01:2024-12-31,0.008390867792668259,0.004534696600785574,0.9569800441620682,0.04301995583793189,0.017315254170495138,2
9,1,grid,40,1.0250000000000001,100.0,0.006088617268915487,0.006463875806900714,5.805472586348386,0.008321120169801174,-3.292841274466936,24,29,5.855489492416382,yfinance:SPY:2010-01-01:2024-12-31,0.00859512144925038,0.004453414480438294,0.9548601367746469,0.045139863225353107,0.018349893379998764,3
9,1,grid,44,1.1,100.0,0.0061157928701192805,0.006463875806900714,5.385049886166228,0.008321120169801174,-4.783559529100152,24,29,5.258891820907593,yfinance:SPY:2010-01-01:2024-12-31,0.008719165906611573,0.004542715781076953,0.9535478214870412,0.046452178512958756,0.019304744100636574,4
9,1,grid,42,1.0750000000000002,100.0,0.006127620827068835,0.006463875806900714,5.202064363193667,0.008321120169801174,-3.7682782900950866,24,29,3.800607681274414,yfinance:SPY:2010-01-01:2024-12-31,0.008634683134652515,0.004450794782183007,0.9544436402897866,0.04555635971021343,0.018843613975955853,5
9,1,grid,45,1.0750000000000002,100.0,0.006127620827068835,0.006463875806900714,5.202064363193667,0.008321120169801174,-3.7682782900950866,24,29,6.275930643081665,yfinance:SPY:2010-01-01:2024-12-31,0.008634683134652515,0.004450794782183007,0.9544436402897866,0.04555635971021343,0.018843613975955853,5
9,1,grid,41,1.0750000000000002,100.0,0.0061287822375456595,0.006463875806900714,5.1840966529294175,0.008321120169801174,-3.8116339947906166,24,29,5.495940685272217,yfinance:SPY:2010-01-01:2024-12-31,0.008638290814940695,0.004462389625072299,0.9544055642856752,0.04559443571432473,0.01883498735500056,7
9,1,grid,46,1.0750000000000002,100.0,0.006130427021512166,0.006463875806900714,5.15865086752694,0.008321120169801174,-3.8216344365205717,24,29,4.345640659332275,yfinance:SPY:2010-01-01:2024-12-31,0.008639122963714555,0.004456020314183253,0.9543967794040172,0.04560322059598281,0.01885542440726429,8
9,1,grid,43,1.0750000000000002,100.0,0.006132181829663308,0.006463875806900714,5.131502942604426,0.008321120169801174,-3.7553432241916043,24,29,3.5944554805755615,yfinance:SPY:2010-01-01:2024-12-31,0.008633606792274644,0.0044491000344574596,0.9544549970897134,0.04554500291028659,0.018871920430775846,9
9,1,grid,47,1.05,100.0,0.006136607717946901,0.006463875806900714,5.063031820698461,0.008321120169801174,-3.796429839397568,24,29,3.4492359161376953,yfinance:SPY:2010-01-01:2024-12-31,0.008637025658899636,0.0044806308511188934,0.9544189187449867,0.045581081255013214,0.01874586613974054,10
9,2,grid,44,0.625,100.0,0.006165501392481983,0.006463875806900714,4.616029505087208,0.008321120169801174,-2.4193762514525337,48,45,6.111953020095825,yfinance:SPY:2010-01-01:2024-12-31,0.00852243937504417,0.004736001485759428,0.9556203324523601,0.04437966754763992,0.017711303008404306,11
9,2,grid,46,0.65,100.0,0.006174109633558625,0.006463875806900714,4.482854900039067,0.008321120169801174,-0.9459025265859685,48,45,6.202908277511597,yfinance:SPY:2010-01-01:2024-12-31,0.008399829855727578,0.004504568572980414,0.9568880981409619,0.043111901859038126,0.01719800311375802,12
9,2,grid,43,0.7000000000000001,100.0,0.006188924334311301,0.006463875806900714,4.253662675509323,0.008321120169801174,-2.368530473688769,48,45,6.7159504890441895,yfinance:SPY:2010-01-01:2024-12-31,0.008518208436775178,0.00457320875856767,0.9556643858077917,0.04433561419220836,0.018255522049929817,13
9,2,grid,45,0.6000000000000001,100.0,0.006223269064125429,0.006463875806900714,3.7223292953496654,0.008321120169801174,-2.6915715780965086,48,45,6.0023415088653564,yfinance:SPY:2010-01-01:2024-12-31,0.008545089075270799,0.004601280296460286,0.9553841273376886,0.04461587266231143,0.0177275792790118,14
9,2,grid,41,0.7750000000000001,1000.0,0.006266659056784388,0.006463875806900714,3.0510603236804292,0.008321120169801174,-1.6765911906796607,48,45,6.166514158248901,yfinance:SPY:2010-01-01:2024-12-31,0.00846063133753393,0.004670091095024443,0.9562617153505882,0.04373828464941175,0.01724473526835475,15
9,2,grid,42,0.8,100.0,0.00626962337403766,0.006463875806900714,3.0052005741767664,0.008321120169801174,-1.8165553102945997,48,45,6.081851243972778,yfinance:SPY:2010-01-01:2024-12-31,0.008472277920121693,0.004563900212543432,0.9561412155591533,0.04385878444084672,0.018005183690621762,16
