Model,RMSE,MAE,R2,NMSE,elapsed
Persistence,0.009407563331837671,0.005571961189053517,0.9799581204032547,0.0200418795967453,
AR(5),0.009539004577155041,0.005948378282388719,0.9793941629206104,0.02060583707938955,
QRC 5q L2 rand [sta],0.009669613065347353,0.006219083098766789,0.9788260277678262,0.02117397223217371,28.82251787185669
QRC 5q L3 rand [sta],0.009681181122618475,0.006211366359517871,0.9787753353073393,0.021224664692660707,41.58585810661316
QRC 10q L3 rand [rec],0.009689410492481478,0.0062349046581908225,0.978739236436768,0.021260763563232088,144.1449477672577
QRC 5q L2 all- [sta],0.009700837338793702,0.006264914396265844,0.978689060684365,0.021310939315634953,40.44949269294739
ESN,0.009704400633246731,0.006371163560543976,0.9786734020157883,0.021326597984211704,
QRC 5q L2 rand [rec],0.009706773058879254,0.006248429344064068,0.9786629733547768,0.021337026645223203,31.838079690933228
QRC 5q L2 all- [rec],0.009740446015395098,0.006252421435537049,0.9785146795856977,0.021485320414302313,39.525909185409546
QRC 5q L3 rand [rec],0.009740987384415284,0.006264583762977296,0.9785122912330332,0.021487708766966818,45.36842060089111
QRC 10q L3 rand [sta],0.009744563108917963,0.0062574897583270415,0.9784965129087507,0.02150348709124928,116.08100366592407
QRC 5q L3 all- [sta],0.009747225318366018,0.006246845719631144,0.9784847618213481,0.02151523817865182,58.77356672286987
Ridge,0.009760181015636757,0.006278415697125555,0.9784275290904304,0.021572470909569628,
QRC 10q L2 rand [sta],0.009851782681193761,0.006433252865929819,0.9780207031861989,0.02197929681380106,89.75573682785034
QRC 5q L3 all- [rec],0.00988406782671735,0.006301009971737908,0.9778764110235837,0.022123588976416333,62.91732954978943
QRC 10q L2 rand [rec],0.009920634075639876,0.0064853359619392375,0.9777124151696318,0.02228758483036817,98.75339961051941
