Model,RMSE,MAE,R2,NMSE,QLIKE,device,shots,feat_corr,feat_mae,n_jobs
Persistence,0.03667345799089921,0.024364755827934383,0.8694359223015208,0.13056407769847925,0.006424673073038495,,,,,
ESN (200 nodes),0.04983215401586129,0.03412735658310987,0.7589321462762322,0.24106785372376788,0.009251135613746414,,,,,
QRC 5q L2 -- statevector (sim),0.03643955705192466,0.025261143702232324,0.8710960696649559,0.12890393033504416,0.006251312820222376,,,,,
QRC 5q L2 -- qBraid hardware,0.036526126412419806,0.02521360619636634,0.8704828686780473,0.1295171313219528,0.006267776141505715,qbraid:qbraid:sim:qir-sv,100.0,0.9452327485665954,0.08094001694103369,40.0
