qubits,layers,connectivity,seed,strength,alpha,validation_RMSE,validation_GARCH_RMSE,validation_gain_vs_GARCH_%,test_GARCH_RMSE,test_gain_vs_GARCH_%,cx_count,depth,elapsed,data_source,RMSE,MAE,R2,NMSE,QLIKE,validation_rank
6,2,linear,44,0.875,100.0,0.0058581662656829354,0.006463945581062392,9.371664841273198,0.008321084254982356,-2.55964806807768,20,30,4.5927207469940186,yfinance:SPY:2010-01-01:2024-12-31,0.008534074727358128,0.004764553959548174,0.9554982492682605,0.044501750731739405,0.017886214731209483,1
6,2,linear,43,0.875,100.0,0.005999761613480521,0.006463945581062392,7.181124311160733,0.008321084254982356,-2.2787214136086678,20,30,3.351529598236084,yfinance:SPY:2010-01-01:2024-12-31,0.008510698583745058,0.004622948698745999,0.9557417096565937,0.04425829034340629,0.017966851399301258,2
6,2,linear,46,0.9750000000000001,100.0,0.00600871642595315,0.006463945581062392,7.042589536071281,0.008321084254982356,-2.19557404028073,20,30,3.476613759994507,yfinance:SPY:2010-01-01:2024-12-31,0.008503779820754636,0.004493662914947102,0.9558136398631754,0.044186360136824615,0.017858565093314297,3
6,3,linear,44,0.9000000000000001,100.0,0.006048057606429809,0.006463945581062392,6.433964664724625,0.008321084254982356,-1.62228412574698,30,40,4.753331184387207,yfinance:SPY:2010-01-01:2024-12-31,0.008456075883940966,0.0044367439289373384,0.9563079967493457,0.04369200325065426,0.017983058402825772,4
6,3,linear,47,0.875,100.0,0.006060382550643451,0.006463945581062392,6.243292511639811,0.008321084254982356,-0.828560524286702,30,40,4.9546058177948,yfinance:SPY:2010-01-01:2024-12-31,0.008390029474311776,0.004517940665610504,0.9569878464964137,0.04301215350358635,0.01684933714901087,5
6,3,linear,46,0.9500000000000002,100.0,0.00609864133302607,0.006463945581062392,5.651412801286016,0.008321084254982356,-1.0852166555971325,30,40,5.029427528381348,yfinance:SPY:2010-01-01:2024-12-31,0.008411386047243695,0.004496843883402546,0.9567685954626094,0.043231404537390584,0.017132117717841875,6
6,2,linear,45,0.8500000000000001,100.0,0.006105200373529037,0.006463945581062392,5.549941642212785,0.008321084254982356,-2.9600795767514625,20,30,3.687347173690796,yfinance:SPY:2010-01-01:2024-12-31,0.00856739497057837,0.004609590980266769,0.9551500676719196,0.04484993232808044,0.018324552074386376,7
6,2,linear,47,0.925,100.0,0.006117723095373697,0.006463945581062392,5.356209784671349,0.008321084254982356,-3.396696718414087,20,30,3.360388994216919,yfinance:SPY:2010-01-01:2024-12-31,0.008603726250807813,0.004686020605622304,0.9547688758542608,0.04523112414573914,0.018284606032699924,8
6,1,linear,40,1.0750000000000002,100.0,0.006127676136839932,0.006463945581062392,5.202231980535828,0.008321084254982356,-3.768283154855458,10,20,1.9423015117645264,yfinance:SPY:2010-01-01:2024-12-31,0.008634646271264186,0.004450775538499303,0.9544431889859244,0.0455568110140756,0.018843401916437564,9
6,1,linear,41,1.0750000000000002,100.0,0.006127676136839932,0.006463945581062392,5.202231980535828,0.008321084254982356,-3.768283154855458,10,20,2.0325052738189697,yfinance:SPY:2010-01-01:2024-12-31,0.008634646271264186,0.004450775538499303,0.9544431889859244,0.0455568110140756,0.018843401916437564,9
