Model,RMSE,MAE,R2,NMSE,QLIKE,alpha,ising_backend,input_scale,beta,J_scale,connectivity
"GARCH(1,1) standalone",0.041531620327376964,0.027606171660851574,0.9040443920305405,0.09595560796945951,0.005026750922777431,,,,,,
Ridge on GARCH-residual (ablation),0.034496061011173945,0.024253207206255845,0.9338009700194398,0.06619902998056011,0.003913257508392017,,,,,,
Ising machine signed-J (sa) on GARCH-residual,0.04164834697224271,0.02815717648008041,0.9035042582255616,0.09649574177443841,0.005022573377705769,1000.0,sa,1.5,1.0,1.0,all-to-all
