Model,data_source,n_train,n_test,RMSE,MAE,R2,NMSE,QLIKE,alpha
"GARCH(1,1) standalone",yfinance:SPY:2010-01-01:2024-12-31,400,120,0.008318236464083851,0.00452833508203237,0.9577205827262137,0.0422794172737863,0.016469605075759418,
Ridge on GARCH-residual (ablation),yfinance:SPY:2010-01-01:2024-12-31,400,120,0.008629601445670203,0.004518890208366363,0.9544961706599226,0.045503829340077365,0.019436561328581455,
Pasqal Fresnel (global) on GARCH-residual,yfinance:SPY:2010-01-01:2024-12-31,400,120,0.008426053464126391,0.004463568457662694,0.9566174685956592,0.043382531404340785,0.017485496813992127,1000.0
