Model,RMSE,MAE,R2,NMSE,QLIKE,corr_vs_sim,feat_mae,n_tasks,shots
Persistence,0.010697871330453758,0.00554045039681898,0.9300710139907832,0.06992898600921683,0.02572500435225351,,,,
ESN (200 nodes),0.010360805066139761,0.006276813920304423,0.9344082080025731,0.06559179199742692,0.0247889288339917,,,,
QuEra 5atom -- local AHS sim,0.010408952347698681,0.0055439881879645325,0.9337971735667234,0.06620282643327655,0.025026572785137424,,,,
QuEra 5atom -- QuEra local AHS sim,0.010408952347698681,0.0055439881879645325,0.9337971735667234,0.06620282643327655,0.025026572785137424,0.9999999999999999,0.0,0.0,100.0
