Scenario,training_policy,strength_policy,shots,p_single,p_two,feature_corr_vs_exact,correction_strength,readout_alpha,calibration_rows,evaluation_rows,GARCH_RMSE,Gain_vs_GARCH_%,RMSE,MAE,R2,NMSE,QLIKE
exact statevector,noise-aware,locked,,0.0,0.0,1.0,0.25,1000.0,0,120,0.008321094727586442,0.6804253761738392,0.00826447588748448,0.0044826599629722,0.9582656246297547,0.04173437537024529,0.016472088390511945
200-shot ideal sampling,exact-trained,locked,200.0,0.0,0.0,0.9050428181392884,0.25,1000.0,0,120,0.008321094727586442,-55.889984237079375,0.012971753259186947,0.009063151996128905,0.8971840145366099,0.10281598546339013,0.028518277710460744
200-shot ideal sampling,noise-aware,locked,200.0,0.0,0.0,0.9050428181392884,0.25,1000.0,0,120,0.008321094727586442,0.22942600415080483,0.008302003972451337,0.004494284593166144,0.9578857415727972,0.042114258427202865,0.01648975264566206
200-shot IQM noise proxy,exact-trained,locked,200.0,0.001,0.013,0.9104961058963978,0.25,1000.0,0,120,0.008321094727586442,-38.81744717205565,0.011551131277604017,0.0080828407870701,0.9184709609904029,0.08152903900959707,0.023821767168207223
200-shot IQM noise proxy,noise-aware,locked,200.0,0.001,0.013,0.9104961058963978,0.25,1000.0,0,120,0.008321094727586442,0.5077299243947925,0.008278846039617248,0.004460466636417811,0.9581203641844994,0.04187963581550062,0.016376870883760004
