Model,strength,calibration_rows,evaluation_rows,RMSE,MAE,R2,NMSE,QLIKE,Gain_vs_GARCH_%,RMSE_diff_vs_GARCH_CI_low,RMSE_diff_vs_GARCH_CI_high,locked_layers,locked_connectivity,locked_seed,alpha
GARCH,0.0,20,100,0.00801465033857688,0.0040105333707715065,0.960020348365588,0.03997965163441196,0.016867375921160024,0.0,0.0,0.0,3,random,47,100.0
QRC correction (training-validation strength),0.7750000000000001,20,100,0.00812859350905258,0.0038924238790889183,0.9588754974061223,0.041124502593877635,0.018446089037704436,-1.421686108092045,-0.00031963483706297683,0.00036198516210845697,3,random,47,100.0
QRC correction (hardware-calibrated strength),0.47,20,100,0.008023147520745977,0.003806580438609857,0.959935530076009,0.040064469923991014,0.017693973191892743,-0.10602062236199798,-0.00030861688712113767,0.00017269631759591418,3,random,47,100.0
