Model,RMSE,MAE,R2,NMSE,QLIKE
"GARCH(1,1) standalone",0.007947732676730926,0.005354997894240803,0.9856955839397805,0.014304416060219535,0.00686258484072854
Ridge on GARCH-residual (ablation),0.008051066745571598,0.005157928786509426,0.9853212022886308,0.014678797711369191,0.006675689296950299
Ising machine signed-J (SA) on GARCH-residual (3-seed ens),0.008135630017426872,0.005367139300163862,0.9850112294501818,0.014988770549818176,0.0067083551737123935
