qubits,layers,connectivity,encoding_axis,input_projection,observable_order,seed,strength,alpha,validation_RMSE,validation_folds,validation_rows_per_fold,validation_GARCH_RMSE,validation_gain_vs_GARCH_%,validation_fold_gain_mean_%,validation_fold_gain_std_%,validation_fold_gain_min_%,test_GARCH_RMSE,test_gain_vs_GARCH_%,cx_count,depth,elapsed,data_source,RMSE,MAE,R2,NMSE,QLIKE,selection_score,validation_rank
9,1,grid,ry,first,2,40,0.17500000000000004,1000.0,0.01045801947954613,4,160,0.01057425076912752,1.0991917263844282,1.2022868192687821,0.2154850319777919,1.0210307958232465,0.008321068929374049,0.07838069190671702,24,29,8.3336021900177,yfinance:SPY:2010-01-01:2024-12-31,0.008314546817973171,0.004500385178520305,0.9577574167633486,0.04224258323665137,0.016643708042134282,1.0210307958232465,1
9,1,grid,ry,pca,2,42,0.15000000000000002,1000.0,0.01050496871777344,4,160,0.01057425076912752,0.6551958419253332,0.8149314933318459,0.35506368651846365,0.42542087077055296,0.008321068929374049,0.1122898758354477,24,29,8.384987592697144,yfinance:SPY:2010-01-01:2024-12-31,0.008311725211405073,0.004490167006370304,0.957786082601322,0.04221391739867796,0.0164393812800112,0.42542087077055296,2
9,1,grid,ry,random,2,40,0.125,1000.0,0.010513800586354082,4,160,0.01057425076912752,0.5716734366649275,0.8740192272514136,0.4597456694503388,0.3635291602054222,0.008321068929374049,-0.10302713582356762,24,29,9.39104676246643,yfinance:SPY:2010-01-01:2024-12-31,0.008329641888361888,0.00446770091665453,0.9576038946020441,0.042396105397955915,0.01671717388589335,0.3635291602054222,3
9,1,grid,ry,first,2,44,0.275,1000.0,0.010351442665592585,4,160,0.01057425076912752,2.107081706303428,1.6731272503350016,0.8970596329262176,0.33228047851577736,0.008321068929374049,-0.2984220078441959,24,29,8.338135957717896,yfinance:SPY:2010-01-01:2024-12-31,0.008345900830347187,0.004501677914717199,0.9574382239578363,0.042561776042163664,0.016766178149276122,0.33228047851577736,4
9,1,grid,ry,first,2,45,0.17500000000000004,1000.0,0.010447599373469679,4,160,0.01057425076912752,1.197733990077216,1.1152279579107987,0.4773827963614379,0.31723683753079823,0.008321068929374049,0.01885781910275674,24,29,8.221146821975708,yfinance:SPY:2010-01-01:2024-12-31,0.008319499757247932,0.0045113799109965085,0.957707074328251,0.04229292567174902,0.01654035544649524,0.31723683753079823,5
9,1,grid,ry,pca,2,44,0.10000000000000003,100.0,0.010525085028366424,4,160,0.01057425076912752,0.46495720438785787,0.7694852396735732,0.36085934375422396,0.24534628913862006,0.008321068929374049,0.5897388945874014,24,29,8.266672849655151,yfinance:SPY:2010-01-01:2024-12-31,0.008271996349452103,0.004425207237185038,0.9581886711563419,0.04181132884365814,0.016459366974849173,0.24534628913862006,6
9,1,grid,ry,first,2,43,0.10000000000000003,1000.0,0.010545550176071602,4,160,0.01057425076912752,0.27141963702726,0.3881093328484834,0.2745404294161574,0.0911244654578707,0.008321068929374049,-0.1020689648871514,24,29,9.388802766799927,yfinance:SPY:2010-01-01:2024-12-31,0.008329562158297808,0.004518031134364281,0.957604706216293,0.04239529378370698,0.01654591937817744,0.0911244654578707,7
9,1,grid,ry,random,2,47,0.07500000000000001,1000.0,0.010553798702756807,4,160,0.01057425076912752,0.19341385803356453,0.36113958205865315,0.2037372718432314,0.06734193959555992,0.008321068929374049,0.03411442698159953,24,29,8.405420780181885,yfinance:SPY:2010-01-01:2024-12-31,0.00831823024439005,0.004501043413498151,0.9577199807091603,0.04228001929083969,0.016518068826401854,0.06734193959555992,8
9,1,grid,ry,random,2,41,0.07500000000000001,100.0,0.01055121995102756,4,160,0.01057425076912752,0.21780094498233257,0.38761430548890496,0.32302943068181017,0.06005023825506998,0.008321068929374049,-0.12084468350868327,24,29,8.427284002304077,yfinance:SPY:2010-01-01:2024-12-31,0.00833112449878629,0.004483705704601731,0.9575888009155025,0.04241119908449756,0.016520577726021834,0.06005023825506998,9
9,1,grid,ry,pca,2,46,0.07500000000000001,1000.0,0.010554174703567058,4,160,0.01057425076912752,0.18985804288920663,0.39822066106528575,0.2780785309939374,0.03867913055742179,0.008321068929374049,0.2294855053132019,24,29,8.649168491363525,yfinance:SPY:2010-01-01:2024-12-31,0.008301973282294015,0.00449729125415362,0.9578850814542403,0.04211491854575963,0.016424839482876905,0.03867913055742179,10
9,1,grid,ry,pca,2,40,0.15000000000000002,100.0,0.01052632382163439,4,160,0.01057425076912752,0.4532420172316898,1.018292510165888,0.6216674489692467,0.03814608273231317,0.008321068929374049,0.8820572323769579,24,29,8.38906216621399,yfinance:SPY:2010-01-01:2024-12-31,0.008247672339071433,0.004387197730116315,0.958434204125371,0.04156579587462904,0.016385878073143505,0.03814608273231317,11
9,1,grid,ry,first,2,42,0.050000000000000044,1000.0,0.010562063861238258,4,160,0.01057425076912752,0.11525079322729555,0.22779357768391723,0.15851202524897928,0.03559176263946781,0.008321068929374049,0.09857718947357563,24,29,9.21863865852356,yfinance:SPY:2010-01-01:2024-12-31,0.008312866253489313,0.004511229745843335,0.9577744914667902,0.04222550853320984,0.016471471772344325,0.03559176263946781,12
9,1,grid,ry,first,2,46,0.07500000000000001,1000.0,0.01055422308522748,4,160,0.01057425076912752,0.18940050068146655,0.40481275005831746,0.2552519837489035,0.02982273249357687,0.008321068929374049,0.036625214096706694,24,29,8.32307243347168,yfinance:SPY:2010-01-01:2024-12-31,0.008318021320063531,0.004516021183506902,0.9577221045295801,0.04227789547041993,0.01652567045313922,0.02982273249357687,13
9,1,grid,ry,pca,2,47,0.10000000000000003,1000.0,0.010541255170994319,4,160,0.01057425076912752,0.3120372199752962,0.38189405465971915,0.2584289804655889,0.011614865099980205,0.008321068929374049,-0.00840641621300386,24,29,9.106672525405884,yfinance:SPY:2010-01-01:2024-12-31,0.008321768433061623,0.004488777289913384,0.9576840051479635,0.04231599485203652,0.016530819872747477,0.011614865099980205,14
9,1,grid,ry,random,2,43,0.050000000000000044,1000.0,0.01056479727323758,4,160,0.01057425076912752,0.08940109418949885,0.21576234795136798,0.15882085380814503,-0.0035037361858362916,0.008321068929374049,0.030174626793838102,24,29,8.317677736282349,yfinance:SPY:2010-01-01:2024-12-31,0.008318558077879352,0.004513884084507381,0.9577166480100208,0.042283351989979255,0.016518657692946123,-0.0035037361858362916,15
9,1,grid,ry,first,2,47,0.050000000000000044,1000.0,0.010562195870807768,4,160,0.01057425076912752,0.11400238733649297,0.2822421198867049,0.1885567091212407,-0.009891262304507398,0.008321068929374049,-0.016403821460022155,24,29,8.298715114593506,yfinance:SPY:2010-01-01:2024-12-31,0.008322433902664789,0.004516410555425743,0.9576772370831059,0.04232276291689403,0.016494167449237755,-0.009891262304507398,16
9,1,grid,ry,pca,2,43,0.025000000000000022,1000.0,0.01056977407438626,4,160,0.01057425076912752,0.042335810252684264,0.11301212932952212,0.08151432324788421,-0.010300670144628448,0.008321068929374049,0.06871090078474945,24,29,8.192983150482178,yfinance:SPY:2010-01-01:2024-12-31,0.008315351447957756,0.004518558481543261,0.9577492404202488,0.04225075957975119,0.016476177628006277,-0.010300670144628448,17
9,1,grid,ry,first,2,41,0.025000000000000022,100.0,0.010571981373387676,4,160,0.01057425076912752,0.021461527529404743,0.08870487761737428,0.10823704322801576,-0.025894888978440486,0.008321068929374049,0.07295205895181149,24,29,8.356154918670654,yfinance:SPY:2010-01-01:2024-12-31,0.008314998538263271,0.0045146354451991895,0.9577528266514111,0.04224717334858882,0.016488579912482332,-0.025894888978440486,18
9,1,grid,ry,pca,2,41,0.050000000000000044,1000.0,0.010568022845267375,4,160,0.01057425076912752,0.05889706983617819,0.1797139630520892,0.14090759344176246,-0.03186392633217984,0.008321068929374049,0.03245953106337823,24,29,8.34794569015503,yfinance:SPY:2010-01-01:2024-12-31,0.008318367949420114,0.004522242895726421,0.9577185808393928,0.04228141916060727,0.016469343141345346,-0.03186392633217984,19
9,1,grid,ry,random,2,45,0.125,1000.0,0.010545768684075894,4,160,0.01057425076912752,0.26935322107910503,0.6912730202289552,0.4807329264334624,-0.03979300081562519,0.008321068929374049,-0.00486245481381602,24,29,8.668250799179077,yfinance:SPY:2010-01-01:2024-12-31,0.008321473537590766,0.004476555553505503,0.9576870041677569,0.042312995832243114,0.01664439548410745,-0.03979300081562519,20
9,1,grid,ry,pca,2,45,0.125,100.0,0.010536876412315752,4,160,0.01057425076912752,0.3534468552692822,0.9235572369106253,0.7207660671480888,-0.04940260776739765,0.008321068929374049,0.7231924956490905,24,29,8.27361273765564,yfinance:SPY:2010-01-01:2024-12-31,0.008260891583319028,0.004452866876745721,0.9583008552906394,0.04169914470936061,0.016387813735862646,-0.04940260776739765,21
9,1,grid,ry,random,2,44,0.025000000000000022,100.0,0.01056971816278321,4,160,0.01057425076912752,0.04286456263686047,0.17306551829358877,0.1516407375256752,-0.05338510435960072,0.008321068929374049,0.06965833279966119,24,29,8.182212591171265,yfinance:SPY:2010-01-01:2024-12-31,0.008315272611486737,0.004514299477102972,0.9577500415613706,0.04224995843862947,0.016482656455971086,-0.05338510435960072,22
9,1,grid,ry,selected,2,43,0.050000000000000044,100.0,0.010565561032434879,4,160,0.01057425076912752,0.082178273263694,0.3178704703550885,0.24245652253995956,-0.09659520255384693,0.008321068929374049,0.21805280303170152,24,29,8.402308225631714,yfinance:SPY:2010-01-01:2024-12-31,0.008302924605331349,0.004481165193391473,0.9578754290050253,0.04212457099497464,0.016548085235041213,-0.09659520255384693,23
9,1,grid,ry,selected,2,42,0.050000000000000044,1000.0,0.010568291192674177,4,160,0.01057425076912752,0.05635932590839192,0.2864289977704483,0.23954893576382533,-0.11679581298215792,0.008321068929374049,0.14274813390019395,24,29,8.303328275680542,yfinance:SPY:2010-01-01:2024-12-31,0.008309190758756819,0.004491131806795089,0.9578118228321857,0.04218817716781435,0.016525506448176276,-0.11679581298215792,24
9,1,grid,ry,random,2,46,0.07500000000000001,100.0,0.010558714946862217,4,160,0.01057425076912752,0.1469212581061677,0.5079628185196294,0.3956011814806666,-0.12098478357707702,0.008321068929374049,0.3743495902795742,24,29,8.354817390441895,yfinance:SPY:2010-01-01:2024-12-31,0.008289919041930056,0.004454729872005949,0.9580072921087658,0.04199270789123423,0.016511257531475518,-0.12098478357707702,25
9,1,grid,ry,random,2,42,0.050000000000000044,1000.0,0.01056923216681144,4,160,0.01057425076912752,0.04746059485116132,0.2689180571342583,0.23166681008966533,-0.12192951299461183,0.008321068929374049,0.14076582385618397,24,29,8.78963851928711,yfinance:SPY:2010-01-01:2024-12-31,0.008309355708141975,0.004502947662000279,0.9578101478235936,0.04218985217640639,0.016483704373414246,-0.12192951299461183,26
9,1,grid,ry,selected,2,47,0.125,1000.0,0.010553641014887422,4,160,0.01057425076912752,0.19490510193186256,0.6783675322785576,0.5496803563168803,-0.16122304676363264,0.008321068929374049,0.1841322706193214,24,29,8.934665203094482,yfinance:SPY:2010-01-01:2024-12-31,0.008305747156214594,0.004453136682858198,0.957846783928662,0.042153216071338,0.0166704603721884,-0.16122304676363264,27
9,1,grid,ry,selected,2,40,0.050000000000000044,1000.0,0.010567073582739277,4,160,0.01057425076912752,0.06787418366508194,0.36109134907718093,0.30724283461554336,-0.16182715496884,0.008321068929374049,0.22301536777412334,24,29,8.495004415512085,yfinance:SPY:2010-01-01:2024-12-31,0.008302511666898467,0.0044858547636753695,0.957879618955579,0.04212038104442091,0.01649853414551124,-0.16182715496884,28
9,1,grid,ry,selected,2,45,0.07500000000000001,100.0,0.010560875901086399,4,160,0.01057425076912752,0.12648525491915494,0.5132883286271552,0.40035345841674363,-0.166343654708421,0.008321068929374049,0.31129723100211437,24,29,10.070483446121216,yfinance:SPY:2010-01-01:2024-12-31,0.00829516567220713,0.004452517737698074,0.9579541215214381,0.04204587847856194,0.016560765884630697,-0.166343654708421,29
9,1,grid,ry,selected,2,41,0.10000000000000003,1000.0,0.010548715320611902,4,160,0.01057425076912752,0.24148707150176474,0.8032919697774927,0.5822476420768172,-0.18541096720817166,0.008321068929374049,0.2959871587294721,24,29,9.534038543701172,yfinance:SPY:2010-01-01:2024-12-31,0.008296439633874074,0.004449784624004568,0.9579412058178189,0.042058794182181,0.016596213851672283,-0.18541096720817166,30
9,1,grid,ry,selected,2,44,0.07500000000000001,100.0,0.010565649239722799,4,160,0.01057425076912752,0.08134410269363795,0.43747305161080197,0.36496780978311083,-0.19214319435072297,0.008321068929374049,0.4150503339003722,24,29,8.331013917922974,yfinance:SPY:2010-01-01:2024-12-31,0.008286532304998602,0.004448242660856103,0.9580415962324256,0.04195840376757439,0.016529366269319425,-0.19214319435072297,31
9,1,grid,ry,selected,2,46,0.10000000000000003,1000.0,0.010556084634917726,4,160,0.01057425076912752,0.17179594664836212,0.6695187305575669,0.5142341187071573,-0.20298227396446664,0.008321068929374049,0.29625433401675433,24,29,8.286842823028564,yfinance:SPY:2010-01-01:2024-12-31,0.008296417402034257,0.004445873148705176,0.9579414312261059,0.04205856877389417,0.016560300811469336,-0.20298227396446664,32
