Model,RMSE,MAE,R2,NMSE,QLIKE,alpha,ising_backend,input_scale,beta,J_scale,connectivity
"GARCH(1,1) standalone",0.029983943124639357,0.018569153068275012,0.307408323327783,0.692591676672217,0.0026843160265948686,,,,,,
Ridge on GARCH-residual (ablation),0.02833419651187046,0.01940273616206356,0.3815258100078698,0.6184741899921302,0.0023501505654519804,,,,,,
Ising machine signed-J (amplify) on GARCH-residual,0.02989053766304148,0.01970741475515094,0.3117167014173875,0.6882832985826125,0.0026593010956156293,1000.0,amplify,1.0,1.0,1.0,all-to-all
