Model,data_source,n_train,n_test,RMSE,MAE,R2,NMSE,QLIKE,alpha
"GARCH(1,1) standalone",yfinance:SPY:2010-01-01:2024-12-31,400,120,0.008318253014559575,0.004528337699927939,0.9577201023907991,0.04227989760920092,0.01646995274766989,
Ridge on GARCH-residual (ablation),yfinance:SPY:2010-01-01:2024-12-31,400,120,0.008629642739214636,0.004518891014429494,0.9544953992825927,0.04550460071740728,0.01943722680222972,
QuEra Aquila on GARCH-residual,yfinance:SPY:2010-01-01:2024-12-31,400,120,0.008474837727135181,0.004461147182197711,0.9561133473580391,0.043886652641960906,0.017495464369963885,1000.0
