Model,data_source,n_train,n_test,RMSE,MAE,R2,NMSE,QLIKE,alpha
"GARCH(1,1) standalone",yfinance:SPY:2010-01-01:2024-12-31,400,120,0.008318192310698578,0.004528330934582549,0.9577203439573836,0.04227965604261646,0.016469211668975504,
Ridge on GARCH-residual (ablation),yfinance:SPY:2010-01-01:2024-12-31,400,120,0.008629573316043228,0.004518885999079902,0.9544957272632831,0.04550427273671686,0.019436209503948778,
Gate QRC 5q L2 (random) on GARCH-residual,yfinance:SPY:2010-01-01:2024-12-31,400,120,0.00844820385893651,0.004559661924761584,0.9563883716796384,0.04361162832036162,0.017356866637530163,1000.0
