Model,RMSE,MAE,R2,NMSE,QLIKE,corr_vs_sim,feat_mae,n_tasks,shots
Persistence,0.003618298377130316,0.0029191818529019586,0.3594306094318972,0.6405693905681028,0.0013842503069661839,,,,
GARCH proxy (zero residual),0.003145025683541614,0.0030627596490684084,0.5160440649676694,0.48395593503233064,0.0010243994289216296,,,,
Ridge residual ablation,0.0028483033497033235,0.002789089934702127,0.6030553904898299,0.3969446095101701,0.0008427730511554543,,,,
ESN (200 nodes),0.014511774050114513,0.007533996460731896,-9.303824261675231,10.303824261675231,0.016744801819826537,,,,
QuEra 5atom -- local AHS sim,0.003531340486812452,0.0028631325101771523,0.3898500013208336,0.6101499986791664,0.0012747920355347553,,,,
QuEra 5atom -- QuEra local AHS sim,0.003531340486812452,0.0028631325101771523,0.3898500013208336,0.6101499986791664,0.0012747920355347553,1.0,0.0,0.0,20.0
