Model,RMSE,MAE,R2,NMSE,QLIKE,alpha
"GARCH(1,1) standalone",0.00794774410165903,0.00535500666841172,0.9856955450482024,0.014304454951797522,0.00686255982843476,
Ridge on GARCH-residual (ablation),0.008051087611950147,0.00515793661689519,0.9853211284932318,0.014678871506768172,0.006675639143541966,
Per-site local-detuning (MockDevice) on GARCH-residual,0.008232773141148298,0.005375113420629417,0.9846511493521765,0.015348850647823509,0.006835948808152013,100.0
