Track,Model,RMSE,MAE,R2,NMSE
Persistence,Persistence,0.0094075633318376,0.0055719611890535,0.9799581204032548,0.0200418795967453
ESN (classical),ESN,0.0097044006332467,0.0063711635605439,0.9786734020157885,0.0213265979842117
Gate-based QRC v3 (best),QRC 5q L2 rand [sta],0.0096696130653473,0.0062190830987667,0.9788260277678262,0.0211739722321737
D-Wave-style v0 (best),ANN 10q/10in t=1.0 m=3 all-,0.009569132715633335,0.0061126171260905025,0.9792639209114408,0.02073607908855919
