alpha,strength,validation_gain_mean_%,validation_gain_std_%,validation_gain_min_%,selection_score,selected,test_GARCH_RMSE,test_RMSE,test_gain_vs_GARCH_%,shots,p_single,p_two,data_source
300,0.085,0.8535302184776404,0.40725675933724637,0.15909414877300995,0.44627345914039407,True,0.008321081549555201,0.008306269467277085,0.17800669528239207,200,0.008,0.08,yfinance:SPY:2010-01-01:2024-12-31
100,0.039999999999999994,0.5622266840872869,0.2649159765448352,0.14741840373294265,0.29731070754245176,False,,,,200,0.008,0.08,yfinance:SPY:2010-01-01:2024-12-31
1000,0.105,0.5526473771291547,0.3679121882266782,0.03565674693300132,0.18473518890247648,False,,,,200,0.008,0.08,yfinance:SPY:2010-01-01:2024-12-31
3000,-0.0050000000000000044,-0.011105566003434273,0.018655332132450065,-0.03419061156097761,-0.02976089813588434,False,,,,200,0.008,0.08,yfinance:SPY:2010-01-01:2024-12-31
100000,-0.05,0.05571379659224079,0.12496852417653447,-0.10702746400330326,-0.06925472758429368,False,,,,200,0.008,0.08,yfinance:SPY:2010-01-01:2024-12-31
30000,-0.05,0.046075628716984694,0.15693509520262566,-0.14434982072054395,-0.11085946648564096,False,,,,200,0.008,0.08,yfinance:SPY:2010-01-01:2024-12-31
10000,-0.05,-0.009850624709056538,0.168758847141375,-0.21951879508924474,-0.17860947185043155,False,,,,200,0.008,0.08,yfinance:SPY:2010-01-01:2024-12-31
