alpha,strength,validation_gain_mean_%,validation_gain_std_%,validation_gain_min_%,selection_score,selected,test_GARCH_RMSE,test_RMSE,test_gain_vs_GARCH_%,shots,p_single,p_two,data_source
1000,0.2,1.1700362763982155,0.3135428881349351,0.7149822980808564,0.8564933882632804,True,0.008321073579341788,0.008283419245631253,0.45251773525974803,500,0.008,0.08,yfinance:SPY:2010-01-01:2024-12-31
300,0.09999999999999999,1.0642135399375054,0.36757774068144006,0.6743397712301891,0.6966357992560654,False,,,,500,0.008,0.08,yfinance:SPY:2010-01-01:2024-12-31
100,0.039999999999999994,0.6210001272184484,0.3149491480986041,0.38871132385445717,0.30605097911984436,False,,,,500,0.008,0.08,yfinance:SPY:2010-01-01:2024-12-31
3000,0.020000000000000004,0.06433297456931335,0.058261468342595525,-0.015987031168994248,0.006071506226717822,False,,,,500,0.008,0.08,yfinance:SPY:2010-01-01:2024-12-31
100000,-0.05,0.04882038039858249,0.12301998746489269,-0.11252936542506531,-0.07419960706631021,False,,,,500,0.008,0.08,yfinance:SPY:2010-01-01:2024-12-31
30000,-0.05,0.026245486704830207,0.14920296020848012,-0.15837282744916528,-0.12295747350364991,False,,,,500,0.008,0.08,yfinance:SPY:2010-01-01:2024-12-31
10000,-0.05,-0.04762715269121094,0.1516681956858657,-0.24169478818695223,-0.19929534837707663,False,,,,500,0.008,0.08,yfinance:SPY:2010-01-01:2024-12-31
